Name,URL,Type,Location,Address,Cuisines,Cost_for_Two,Timings,Rating,Votes
"Qissa Khawani ",https://www.zomato.com/bangalore/qissa-khawani-church-street,Casual Dining,Church Street,"G 35A, Ground Floor, Brigade Gardens, Off Brigade Road, 19 Church Street, Bangalore","North Indian, Mughlai",₹800,"12Noon to 10:30PM (Mon, Tue, Wed, Fri, Sat, Sun)... ","4.2 ",151 votes
"The Coffee Shack ",https://www.zomato.com/bangalore/the-coffee-shack-banashankari,Café,Banashankari,"6th Block, 3rd Stage, Banashankari, Bangalore",Cafe,₹650,"11AM to 11:30PM (Mon),11AM to 10:30PM (Tue-Fri),11AM... ","3.7 ",30 votes
"Enerjuvate Studio & Cafe ",https://www.zomato.com/bangalore/enerjuvate-studio-cafe-jayanagar,Café,Jayanagar,"547, 32nd C Cross, 9th Main, 4th Block, Jayanagar, Bangalore","Cafe, Continental, Beverages, Healthy Food, Desserts, Sandwich, Pizza, Salad",₹800,"11:30AM to 9:30PM (Mon-Thu),11:30AM to 10:30PM... ","3.9 ",420 votes
"Royal Andhra Spice ",https://www.zomato.com/bangalore/royal-andhra-spice-rajarajeshwari-nagar,Casual Dining,"OSR Hotel, Rajarajeshwari Nagar","OSR Hotels, 60 Feet Road, BEML Layout, Near BEML Bus Depot, Rajarajeshwari Nagar, Bangalore","Andhra, North Indian, Chinese",₹900,"11:30AM to 3:30PM, 7PM to 11PM (Mon-Sun) ","4.0 ",900 votes
"Pebble ",https://www.zomato.com/bangalore/pebble-sadashiv-nagar-bangalore,Club,Sadashiv Nagar,"3, Ramana Maharishi Road, Gate 30, Palace Grounds, Sadashiv Nagar, Bangalore",Finger Food,"₹1,500","7PM to 11:30PM (Mon, Tue, Wed, Thu, Sun), 7PM to 1AM... ","3.5 ",431 votes
"Kylie's ",https://www.zomato.com/bangalore/kylies-indiranagar,Quick Bites,Indiranagar,"57,100 Feet Road, Defence Colony, Indiranagar, Bangalore","Asian, Chinese",₹400,"12:15PM to 10:45PM (Mon, Tue, Wed, Thu, Sun)... ","3.8 ",91 votes
"Chung Wah ",https://www.zomato.com/bangalore/chung-wah-bannerghatta-road,Casual Dining,Bannerghatta Road,"3, Arakere Gate, Bannerghatta Road, Bangalore",Chinese,₹800,"12Noon to 3PM, 7PM to 11PM (Mon-Sun) ","3.5 ",366 votes
"FireHouse - Bar & Kitchen ",https://www.zomato.com/bangalore/firehouse-bar-kitchen-hbr-layout,Pub,HBR Layout,"310, Opposite Indo Asian Academy, 3rd Block, Kammanahalli Service Road, Ring Road, HBR Layout, Bangalore","Continental, American, Chinese, BBQ, Salad, Indian, Italian","₹1,500","12Noon to 11:30PM (Mon, Tue, Thu), 12Noon to 1AM... ","3.8 ",622 votes
"Denny's Pub ",https://www.zomato.com/bangalore/dennys-pub-yelahanka,"Casual Dining,Pub",Yelahanka,"150/3, JNTR Mansion, Opposite RMZ Galleria Mall, BB Road, Yelahanka, Bangalore","North Indian, Mughlai, Chinese","₹1,000","12Noon to 11PM (Mon-Sun) ","3.5 ",92 votes
"Harima ",https://www.zomato.com/bangalore/harima-residency-road,Casual Dining,Residency Road,"131, 4th Floor, Devatha Plaza, Residency Road, Bangalore",Japanese,"₹2,000","12Noon to 11PM (Mon-Sun) ","4.1 ",513 votes
"Kaifu ",https://www.zomato.com/bangalore/kaifu-new-bel-road,Casual Dining,New BEL Road,"1, Sree Premprasad Complex, Opposite Ramaiah Hospital Gate, New BEL Road, Bangalore","Chinese, Asian",₹700,"11AM to 11PM (Mon-Sun) ","3.8 ",145 votes
"Time Traveller - Sai Vishram ",https://www.zomato.com/bangalore/time-traveller-sai-vishram-electronic-city,Casual Dining,Electronic City,"Sai Vishram Business Hotel, 144 - C/1, Kirloskar Road, Bommasandra Industrial Estate, Hebbagodi, Electronic City, Bangalore","Continental, North Indian","₹1,100","7AM to 10AM, 12Noon to 3PM, 7PM to 10PM (Mon-Sun) ","3.9 ",756 votes
"Lakeview Milkbar ",https://www.zomato.com/bangalore/lakeview-milkbar-mg-road,"Dessert Parlor,Café",MG Road,"89, Kannan Building, MG Road, Bangalore","Desserts, Cafe, Bakery",₹500,"9AM to 12Midnight (Mon-Sun) ","3.7 ",1193 votes
"20 Char - Sterlings MAC Hotel ",https://www.zomato.com/bangalore/20-char-sterlings-mac-hotel-airport-road,Casual Dining,Sterlings Mac Hotel,"Matthan Hotel, 134, HAL Old Airport Road, Old Airport Road, Bangalore","Chinese, Continental, North Indian, South Indian, Arabian","₹1,400","24 Hours (Mon-Sun) ","3.6 ",327 votes
"Berry'd Alive ",https://www.zomato.com/bangalore/berryd-alive-indiranagar,Dessert Parlor,Indiranagar,"1079, 12th Main, HAL 2nd Stage, Off 100 Feet Road, Indiranagar, Bangalore",Desserts,₹400,"12:30PM to 12Midnight (Mon-Sun) ","4.2 ",2175 votes
"Bahar Cafe ",https://www.zomato.com/bangalore/bahar-cafe-marathahalli,Casual Dining,Marathahalli,"Ground Floor, Vims Hospital Buidling, Opposite to More, Marathahalli, Bangalore","North Indian, Chinese, Andhra, South Indian, Hyderabadi",₹750,"12Noon to 11PM (Mon-Sun) ","3.5 ",307 votes
"Patio 805 ",https://www.zomato.com/bangalore/patio-805-jayanagar,Casual Dining,Jayanagar,"805, Ground Floor, 35C Cross, 9th Main, 4th Block, Jayanagar, Bangalore","Asian, North Indian","₹1,200","12:30PM to 12Midnight (Mon-Sun) ","NEW ",
"Trick Or Treat ",https://www.zomato.com/bangalore/trick-or-treat-brigade-road,Café,Brigade Road,"15 K-1, D Block, Next to St. Patrick's Church, Opposite to Printo","Cafe, Burger, Continental, Pizza, Steak",₹500,"12:30PM to 11PM (Mon-Sun) ","4.0 ",473 votes
"Doof ",https://www.zomato.com/bangalore/doof-1-electronic-city,,Electronic City,"35, Basapura Main Road, Dream Paradise Layout, Basapura, Electronic City, Bangalore","American, Continental, Steak, Sandwich, Fast Food, Italian, Burger, Wraps",₹450,"3PM to 3AM (Mon-Sun) ","NEW ",
"Gudguda Prime Cafe ",https://www.zomato.com/bangalore/gudguda-prime-cafe-koramangala-6th-block,Café,Koramangala 6th Block,"55, 1st Floor, 5th Cross Road, Koramangala 6th Block, Bangalore","Cafe, Continental, Chinese, Italian",₹800,"11AM to 1AM (Mon-Sun) ","4.0 ",555 votes
"Halli Mane ",https://www.zomato.com/bangalore/halli-mane-malleshwaram,Quick Bites,Malleshwaram,"3rd Cross, Sampige Road, Malleshwaram, Bangalore","South Indian, North Indian, Chinese, Juices",₹200,"6:30AM to 10:30PM (Mon-Sun) ","3.6 ",983 votes
"Royal Afghan - ITC Windsor ",https://www.zomato.com/bangalore/royal-afghan-itc-windsor-sankey-road,Fine Dining,ITC Windsor,"ITC Windsor, 25 Windsor Square, Sankey Road, Bangalore","North Indian, Mughlai","₹5,000","7:30PM to 11:30PM (Mon-Fri),12:30PM to 2:45PM... ","4.1 ",361 votes
"Red Onion ",https://www.zomato.com/bangalore/red-onion-shanti-nagar,Casual Dining,Shanti Nagar,"Money Chambers Double Road, Shanti Nagar, Bangalore","Biryani, North Indian, Chinese, Kebab",₹600,"11:30AM to 3:30PM, 6:30PM to 11PM (Mon-Sun) ","4.0 ",358 votes
"Prems Graama Bhojanam ",https://www.zomato.com/bangalore/prems-graama-bhojanam-jayanagar,Casual Dining,Jayanagar,"234, 32 A Cross 2nd Main Road, 7th Block, Jayanagar, Bangalore",South Indian,₹300,"12Noon to 3:30PM, 7PM to 10:30PM (Mon-Sun) ","4.2 ",178 votes
"Mamma Royale ",https://www.zomato.com/bangalore/mamma-royale-koramangala-5th-block,Casual Dining,Koramangala 5th Block,"20/A, KHB Colony, Koramangala 5th Block, Bangalore","Continental, Arabian, North Indian, Italian, Steak",₹550,"12Noon to 2:30AM (Mon-Sun) ","4.0 ",123 votes
"Hello Resto-Pub ",https://www.zomato.com/bangalore/hello-resto-pub-airport-road,Casual Dining,Old Airport Road,"Shop 157/A, Behind EGL Tech Park, Murugeshpalaya, Old Airport Road, Bangalore",Continental,₹700,"7:30AM to 12Midnight (Mon-Sun) ","3.9 ",222 votes
"Chinnaswamy Naidu Biriyani ",https://www.zomato.com/bangalore/chinnaswamy-naidu-biriyani-hsr,Casual Dining,HSR,"242, 9th Main,17th Cross, 6th Sector, HSR, Bangalore","Biryani, South Indian",₹600,"11AM to 11PM (Mon-Sun) ","3.5 ",594 votes
"Le Casse Croûte ",https://www.zomato.com/bangalore/le-casse-croûte-thippasandra,Quick Bites,Thippasandra,"1675, Ground Floor, 4th Cross, 9th Main, HAL 3rd Stage, Thippasandra, Bangalore","French, Street Food",₹450,"11:30AM to 11:15PM (Mon-Sun) ","4.0 ",291 votes
"Bean Flickers ",https://www.zomato.com/bangalore/bean-flickers-indiranagar,Café,Indiranagar,"1083,5th Cross, Opposite Corporation Bank, 12th Main, Indiranagar, Bangalore","Cafe, American, Fast Food",₹700,"10AM to 11PM (Mon-Sun) ","4.1 ",256 votes
"Benjarong ",https://www.zomato.com/bangalore/benjarong-ulsoor,Casual Dining,Ulsoor,"12/1, Ulsoor Road, Ulsoor, Bangalore","Thai, Asian","₹1,500","12:15PM to 3PM, 7PM to 11PM (Mon-Sun) ","4.1 ",751 votes
"Manjit Da Dhaba ",https://www.zomato.com/bangalore/manjit-da-dhaba-frazer-town,Casual Dining,Frazer Town,"107, 1st Floor, Wheeler Road, Near Railway Cross, Cox Town, Frazer Town, Bangalore",North Indian,₹250,"12Noon to 4PM, 7PM to 11PM (Mon, Wed, Thu, Fri, Sat... ","4.1 ",643 votes
"Marination ",https://www.zomato.com/bangalore/marination-marathahalli,Casual Dining,Marathahalli,"Kadubeesanahalli, Opposite JP Morgan, Marathahalli, Bangalore","American, Burger, Italian, North Indian, South Indian",₹800,"12Noon to 11:30PM (Mon, Tue, Wed, Sat, Sun), 12Noon... ","3.8 ",286 votes
"Tempteys ",https://www.zomato.com/bangalore/tempteys-btm,"Dessert Parlor,Beverage Shop",BTM,"386, 7th Main, MICO Layout, 2nd Stage, BTM, Bangalore","Desserts, Beverages",₹350,"12Midnight to 1:30AM, 10:30AM to 12Midnight (Mon-Sun) ","4.0 ",85 votes
