Name,URL,Type,Location,Address,Cuisines,Cost_for_Two,Timings,Rating,Votes
"The Oriental Kitchen ",https://www.zomato.com/bangalore/the-oriental-kitchen-koramangala-4th-block,Casual Dining,Koramangala 4th Block,"612/1, Lotus Building, 4th Block, 80 Feet Road, Koramangala 4th Block, Bangalore","Thai, Chinese","₹1,000","12Noon to 11PM (Mon-Sun) ","3.7 ",991 votes
"Quizine ",https://www.zomato.com/bangalore/quizine-koramangala-7th-block-bangalore,Casual Dining,Koramangala 7th Block,"352, 1st B Cross Road, Koramangala 7th Block, Bangalore","Chinese, Andhra",₹400,"11:30AM to 11:30PM (Mon-Sun) ","NEW ",
"Amour Cafe ",https://www.zomato.com/bangalore/amour-cafe-jayanagar,Café,Jayanagar,"138, 6th C Main Road, 4th Block, Jayanagar, Bangalore","Cafe, Italian, Continental",₹500,"10AM to 10:30PM (Mon, Wed, Thu, Fri, Sat, Sun)... ","NEW ",
"The Waffles Hut ",https://www.zomato.com/bangalore/the-waffles-hut-hsr,Dessert Parlor,HSR,"18th Cross, Near Reliance Digital, Sector 3, HSR, Bangalore",Desserts,₹300,"11AM to 11PM (Mon-Sun) ","4.0 ",71 votes
"Best In Klass ",https://www.zomato.com/bangalore/best-in-klass-itpl-main-road-whitefield,Quick Bites,"ITPL Main Road, Whitefield","Shop 17, Ground Floor, Arya Hub Mall, Hope Farm Circle, ITPL Main Road, Whitefield",South Indian,₹200,"7:30AM to 10:30PM (Mon-Sun) ","NEW ",
"SLV Swadishta ",https://www.zomato.com/bangalore/slv-swadishta-banashankari,Quick Bites,Banashankari,"76, 21st Main Road, 2nd Stage, Banashankari, Bangalore",South Indian,₹300,"7AM to 10:30PM (Mon-Sun) ","3.5 ",90 votes
"Fatso's ",https://www.zomato.com/fatsos,Café,Brigade Road,"17/1, Raheja Plaza, Commissariat Road, D'souza Circle, Opposite Lifestyle, Brigade Road, Bangalore","Burger, American, Cafe, Sandwich, Italian, Pizza",₹650,"Closed (Mon),12Noon to 11PM (Tue-Sun) ","NEW ",
"Sultan Rolls & Sandwiches ",https://www.zomato.com/bangalore/sultan-rolls-sandwiches-new-bel-road,Quick Bites,New BEL Road,"13, MSRIT Collage Road, Mathikere, New BEL Road, Bangalore","Fast Food, Rolls",₹300,"1PM to 11:30PM (Mon-Sun) ","3.4 ",13 votes
"Cafe Palnad ",https://www.zomato.com/bangalore/cafe-palnad-1-electronic-city,Quick Bites,Electronic City,"13th Cross, Opposite to Ajmera Infinity apartments, Neeladri Main Road,","South Indian, Fast Food",₹400,"6AM to 11AM, 6PM to 11PM (Mon-Sun) ","3.7 ",25 votes
"Five Spice Dining ",https://www.zomato.com/bangalore/five-spice-dining-marathahalli,Casual Dining,"24 Tech Hotel, Marathahalli","24 Tech Hotel, Prestige Technology Park, Sarjapur-Marathahalli Outer Ring Road, Kadubeesanahalli, Marathahalli, Bangalore","Chinese, North Indian, South Indian",₹750,"8AM to 11PM (Mon-Sun) ","3.1 ",32 votes
"Bengaluru House ",https://www.zomato.com/bangalore/bengaluru-house-hsr,Casual Dining,HSR,"492, 17th Cross, 27th Main Road, HSR, Bangalore","North Indian, South Indian, Biryani",₹500,"11:30AM to 4PM, 6PM to 10:30PM (Mon-Sun) ","3.0 ",7 votes
"WOW! Momo ",https://www.zomato.com/bangalore/wow-momo-malleshwaram,Food Court,"Orion Mall, Malleshwaram","3rd Floor, Orion Mall, Brigade Gateway, Dr. Rajkumar Road, Near Yeshwantpur, Malleshwaram, Bangalore",Tibetan,₹400,"11AM to 11PM (Mon-Sun) ","3.6 ",228 votes
"Ottimo - ITC Gardenia ",https://www.zomato.com/bangalore/ottimo-itc-gardenia-richmond-road,Fine Dining,ITC Gardenia,"ITC Gardenia, 1, Residency Road, Bangalore","Italian, Salad","₹3,000","7PM to 11:30PM (Mon-Sun) ","4.0 ",143 votes
"Lan Thai ",https://www.zomato.com/bangalore/lan-thai-new-bel-road,Casual Dining,New BEL Road,"1/B,3rd Main Road,RMV 2nd stage Devsandra, New BEL Road, Bangalore",Thai,₹800,"11AM to 9PM (Mon-Sun) ","3.6 ",27 votes
"A2B - Adyar Ananda Bhavan ",https://www.zomato.com/bangalore/a2b-adyar-ananda-bhavan-btm,Casual Dining,BTM,"3, 100 Feet Road, 16th Main Road, 1st Stage, BTM Layout","South Indian, North Indian, Street Food",₹350,"7AM to 11PM (Mon-Sun) ","3.4 ",528 votes
"King ",https://www.zomato.com/bangalore/king-electronic-city,Quick Bites,Electronic City,"34/2, Keerthana Apartment, Behind XIME College, Phase 2, Electronic City, Bangalore","North Indian, Chinese",₹300,"9:30AM to 4PM, 6PM to 10:45PM (Mon-Sun) ","3.3 ",121 votes
"AQNI ",https://www.zomato.com/bangalore/aqni-hbr-layout,Casual Dining,HBR Layout,"3157, Near Petrol Pump, 2nd Block, HBR Layout, Bangalore","North Indian, Mughlai",₹700,"12:30PM to 11:30PM (Mon-Sun) ","3.5 ",293 votes
"Sea Route ",https://www.zomato.com/bangalore/sea-route-rajajinagar,Casual Dining,Rajajinagar,"725, MK Towers, Modi Hospital Road, 1st Stage, Rajajinagar, Bangalore","Seafood, North Indian, Chinese","₹1,100","11:30AM to 3:30PM, 6:30PM to 11PM (Mon-Sun) ","3.8 ",354 votes
"Rigan Hyderabadi Bawarchi ",https://www.zomato.com/bangalore/rigan-hyderabadi-bawarchi-sahakara-nagar,Casual Dining,Sahakara Nagar,"39, G Block, 60 Feet Road, Sahakara Nagar, Bangalore","Biryani, North Indian, Chinese",₹600,"11AM to 4PM, 7PM to 11PM (Mon-Sun) ","3.4 ",278 votes
"7 Plates ",https://www.zomato.com/bangalore/7-plates-rt-nagar,Quick Bites,RT Nagar,"12, Rahmathnagar Bus Stop, RT Nagar, Bangalore","North Indian, Fast Food",₹500,"12Noon to 11PM (Mon-Sun) ","3.5 ",104 votes
"Wanley ",https://www.zomato.com/bangalore/wanley-indiranagar,Casual Dining,Indiranagar,"421/P, Sri Krishna Temple Road, Off 100 Feet Road, Indiranagar, Bangalore",Chinese,₹500,"12Noon to 3PM, 6:30PM to 11PM (Mon-Sun) ","3.5 ",419 votes
"Seasons ",https://www.zomato.com/bangalore/seasons-bannerghatta-road,Casual Dining,Bannerghatta Road,"7, DSR Galleria, Opp Kalyani Motors, Bilekahalli Gate, Bannerghatta Road, Bangalore","North Indian, South Indian, Chinese, Seafood","₹1,100","11AM to 11PM (Mon-Sun) ","3.4 ",371 votes
"Biryani Feast ",https://www.zomato.com/bangalore/biryani-feast-marathahalli,,Marathahalli,"116/1 C, Munnekolal, Marathahalli, Bangalore","Biryani, North Indian, Chinese, Kebab",₹600,"12Noon to 3:30PM, 7PM to 2AM (Mon-Sun) ","3.0 ",9 votes
"Barbeque Delight ",https://www.zomato.com/bangalore/barbeque-delight-sarjapur-road,Casual Dining,Sarjapur Road,"52 & 62, MBR Complex, Amritha College Road, Kasavanahalli, Sarjapur Road, Bangalore","Arabian, Kerala, North Indian, Chinese, BBQ",₹800,"12Noon to 12Midnight (Mon-Sun) ","3.5 ",98 votes
"Cooking Mom ",https://www.zomato.com/bangalore/cooking-mom-bellandur,Casual Dining,Bellandur,"Pritech Tech Park Food Court, Ground Floor, Ecospace Tech Park, Bellandur, Bangalore","South Indian, North Indian, Chinese, Continental, Andhra",₹500,"10AM to 11:30PM (Mon-Fri),10AM to 10PM (Sat-Sun) ","3.4 ",114 votes
"Cafe Natural ",https://www.zomato.com/bangalore/cafe-natural-sahakara-nagar,Café,Sahakara Nagar,"Opposite Ganesha Temple, Sahakara Nagar, Bangalore",Cafe,₹400,"7:30AM to 10PM (Mon-Sun) ","3.6 ",72 votes
"J's Cafe ",https://www.zomato.com/bangalore/js-cafe-indiranagar,Café,Indiranagar,"1st Floor, 772, HAL 2nd Stage, 100 Feet Road, Indiranagar, Bangalore","Cafe, Continental",₹700,"11AM to 11PM (Mon-Sun) ","3.6 ",139 votes
"The King's Table ",https://www.zomato.com/bangalore/the-kings-table-hennur,Casual Dining,Hennur,"50/8A, Gubbi Cross, Hennur Bagalur Road, Kothanur Post, Hennur, Bangalore","Italian, Continental, North Indian, Steak",₹900,"12Noon to 3:30PM, 6PM to 11PM (Mon-Thu),12Noon to... ","3.6 ",176 votes
"Golden Rice ",https://www.zomato.com/bangalore/golden-rice-marathahalli,Casual Dining,Marathahalli,"95/3, Doddanekkundi, Marathahalli, Bangalore","North Indian, Mughlai, Seafood, Chinese","₹1,000","12Noon to 11:30PM (Mon-Sun) ","3.8 ",75 votes
"Hungry Walker ",https://www.zomato.com/bangalore/hungry-walker-indiranagar,,Indiranagar,"Above Royal Enfield Showroom, HAL 2nd Stage, 100 Feet Road, Indiranagar, Bangalore","Malaysian, Indonesian, Thai, Vietnamese, Chinese",₹400,"9:30AM to 9:30PM (Mon),10AM to 10PM (Tue-Sun) ","3.3 ",13 votes
"Mangalore Pearl ",https://www.zomato.com/bangalore/mangalore-pearl-jayanagar,Casual Dining,Jayanagar,"197/F, 8th B Main, 27th Cross, 3rd Block, Jayanagar, Bangalore","Mangalorean, Seafood",₹500,"11:30AM to 4PM, 6:30PM to 11:30PM (Mon-Sun) ","3.4 ",97 votes
"Rayalaseema Chefs ",https://www.zomato.com/bangalore/rayalaseema-chefs-marathahalli,Casual Dining,Marathahalli,"88, 1st Floor, VIMS Hospital Building, Outer Ring Road, Marathahalli, Bangalore","North Indian, Biryani, Andhra, Chinese",₹800,"12Noon to 4PM, 7PM to 11PM (Mon-Sun) ","3.5 ",90 votes
"La Khuraq ",https://www.zomato.com/bangalore/la-khuraq-banaswadi,Casual Dining,Banaswadi,"#2, Horamavu Main Road, opp: Sycon Cressida Apartment.","Biryani, North Indian, Mughlai, Chinese, Rolls, Arabian",₹600,"12Noon to 11PM (Mon-Sun) ","3.4 ",24 votes
"Eat Me Up ",https://www.zomato.com/bangalore/eat-me-up-koramangala-5th-block,Café,Koramangala 5th Block,"488, 1st Cross, Krishna Temple Road, Opposite Krishna Temple, Koramangala 5th Block, Bangalore","Cafe, Continental",₹550,"12Noon to 11PM (Mon-Thu),12Noon to 1AM (Fri, Sun)... ","3.5 ",46 votes
"Meghana Biryani ",https://www.zomato.com/bangalore/meghana-biryani-bellandur,Casual Dining,Bellandur,"163, Shreyas Arcade, Opposite Apollo Pharmacy, Green Glen Layout, Bellandur, Bangalore",North Indian,₹800,"11:30AM to 4PM, 6:30PM to 11PM (Mon-Sun) ","2.2 ",57 votes
"Troll ",https://www.zomato.com/bangalore/troll-indiranagar,Dessert Parlor,Indiranagar,"1099, 12th Main, 5th Cross , HAL 2nd Stage, Indiranagar, Bangalore","Desserts, Ice Cream",₹300,"11AM to 1AM (Mon-Sun) ","3.6 ",45 votes
"Abhiruchi Hotel ",https://www.zomato.com/bangalore/abhiruchi-hotel-btm,Casual Dining,BTM,"808, 7th Cross, 2nd Stage, BTM, Bangalore","North Indian, South Indian",₹550,"12Noon to 4PM, 7PM to 11PM (Mon-Sun) ","2.8 ",139 votes
"Sri Udupi Park ",https://www.zomato.com/bangalore/sri-udupi-park-1-airport-road,Casual Dining,Old Airport Road,"25/1, NR Chambers, Old Airport Road, Bangalore","South Indian, Chinese, North Indian",₹450,"7AM to 11PM (Mon-Sun) ","2.7 ",218 votes
"Oregano Pizzeria ",https://www.zomato.com/bangalore/oregano-pizzeria-koramangala-4th-block,Café,Koramangala 4th Block,"925, Opposite Magnus Diagnostic Center, ST Bed Layout, Koramangala 4th Block, Bangalore","Cafe, Italian, Pizza",₹450,"10:30AM to 11PM (Mon-Sun) ","3.6 ",36 votes
"Asha Sweets Centre ",https://www.zomato.com/bangalore/asha-sweets-centre-1-malleshwaram,Sweet Shop,Malleshwaram,"131, 8th Cross, Sampige Road, Malleshwaram, Bangalore",Mithai,₹250,"8:30AM to 10PM (Mon-Sun) ","4.0 ",87 votes
"BBxR ",https://www.zomato.com/bangalore/bbxr-marathahalli,,Marathahalli,"Near Alpine Eco Apartments, Doddanekundi, Marathahalli, Bangalore","Biryani, Kebab",₹400,"12:30PM to 3:30PM, 7:30PM to 10PM (Mon-Sun) ","NEW ",
"Golden Grill Restaurant ",https://www.zomato.com/bangalore/golden-grill-restaurant-1-hbr-layout,Casual Dining,HBR Layout,"1549, 2nd Cross, 2nd Block, 1st Stage, Teachers Colony, 80 Feet Road, HBR Layout, Bangalore","Arabian, Chinese, North Indian, Kerala",₹500,"12Noon to 12Midnight (Mon-Sun) ","NEW ",
"Ginger Greens ",https://www.zomato.com/bangalore/ginger-greens-kalyan-nagar,Casual Dining,Kalyan Nagar,"122/4, C. Shankar Reddy Building, Kalyan Nagar, Bangalore","Andhra, Chinese, North Indian",₹750,"11AM to 11PM (Mon-Sun) ","3.5 ",258 votes
"Sharon Tea Stall ",https://www.zomato.com/bangalore/sharon-tea-stall-thippasandra,Beverage Shop,Thippasandra,"7, Veeranjanaya Temple Road, New Thippasandra, Thippasandra, Bangalore","Tea, Beverages",₹50,"7AM to 10PM (Mon-Sat),Closed (Sun) ","4.3 ",234 votes
"Chefmaster ",https://www.zomato.com/bangalore/chefmaster-jayanagar,Quick Bites,Jayanagar,"1119/A/28, East End Main Road, 4th T Block, Jayanagar, Bangalore","Kerala, North Indian, Chinese",₹300,"7:30AM to 11PM (Mon-Sun) ","3.3 ",56 votes
"Juicemaker ",https://www.zomato.com/bangalore/juicemaker-cunningham-road-bangalore,Beverage Shop,Cunningham Road,"19 / 8, SRT Road, Ward 78, Cunningham Road, Bangalore","Juices, Fast Food",₹200,"11AM to 10PM (Mon-Sun) ","NEW ",
"Odia Dine ",https://www.zomato.com/bangalore/odia-dine-airport-road,Casual Dining,Old Airport Road,"34, 2nd Main Road, K R Garden, Murgeshpalya, Old Airport Road, Bangalore",Oriya,₹400,"11AM to 11PM (Mon-Sun) ","3.4 ",12 votes
"Agape ",https://www.zomato.com/bangalore/agape-3-kalyan-nagar,,Kalyan Nagar,"7th Main Road, HRBR Layout 1st Block, Kalyan Nagar, Bangalore","Lebanese, Arabian",₹300,"5PM to 11:30PM (Mon-Sun) ","NEW ",
"Sangam Sweets ",https://www.zomato.com/bangalore/sangam-sweets-yelahanka,Sweet Shop,Yelahanka,"Prestige Plaza, Yelahanka New Town Main Road, Yelahanka, Bangalore","Mithai, Street Food",₹250,"9:30AM to 10PM (Mon-Sun) ","NEW ",
"Ice - Vivanta By Taj ",https://www.zomato.com/bangalore/ice-vivanta-by-taj-mg-road,Club,"Vivanta By Taj, MG Road","Vivanta By Taj, 41/3, MG Road, Bangalore",Continental,"₹2,800","11AM to 11:30PM (Mon, Tue, Wed, Thu, Sun), 11AM to... ","3.8 ",567 votes
"Onesto ",https://www.zomato.com/bangalore/onesto-koramangala-5th-block,Bakery,Koramangala 5th Block,"Prestige Paint St. John Wood, Taverekere Main road, SG Palya, Bangalore, Koramangala 5th Block, Bangalore","Bakery, Healthy Food",₹300,"10AM to 8PM (Mon-Sun) ","3.4 ",20 votes
"Subway ",https://www.zomato.com/bangalore/subway-sarjapur-road,Quick Bites,Sarjapur Road,"Groud Floor, Near Croma, Total Mall, Sarjapur Road, Bangalore","Healthy Food, Salad, Fast Food",₹600,"11AM to 11PM (Mon-Sun) ","3.2 ",55 votes
"Asha Food Camp ",https://www.zomato.com/bangalore/asha-food-camp-rajajinagar,Casual Dining,Rajajinagar,"52, 50th Cross, 3rd block, Near Bashyam Circle, Rajajinagar, Bangalore","Desserts, North Indian, Chinese",₹700,"11:30AM to 3:30PM, 7PM to 10:30PM (Mon, Wed, Thu... ","3.7 ",92 votes
"The Ritz-Carlton Bar - The Ritz-Carlton ",https://www.zomato.com/bangalore/the-ritz-carlton-bar-the-ritz-carlton-residency-road,Lounge,The Ritz-Carlton,"The Ritz-Carlton, 99, Residency Road, Bangalore",Finger Food,"₹2,000","5PM to 1AM (Mon-Sun) ","3.5 ",53 votes
"Tisano Cafe ",https://www.zomato.com/bangalore/tisano-cafe-bannerghatta-road,Café,Bannerghatta Road,"Kembathahalli Road, Gottigere, Near Bannerghatta Main Road, Bannerghatta Road, Bangalore","Cafe, Fast Food",₹500,"11AM to 11PM (Mon, Tue, Wed, Thu, Sat, Sun), 4PM to... ","3.3 ",21 votes
"Wok With Chung ",https://www.zomato.com/bangalore/wok-with-chung-marathahalli,Casual Dining,Marathahalli,"35/1A, Munnekolalu Village, Marathahalli, Bangalore","Chinese, Thai","₹1,000","12Noon to 3PM, 7PM to 10:45PM (Mon-Sun) ","3.5 ",602 votes
"Momo Rice Noodles ",https://www.zomato.com/bangalore/momo-rice-noodles-ejipura,Casual Dining,Ejipura,"1/7, Srinivagilu Main Road, Ejipura, Bangalore","Chinese, Thai",₹550,"11AM to 11PM (Mon-Sun) ","3.6 ",161 votes
"Cave N Dine ",https://www.zomato.com/bangalore/cave-n-dine-basaveshwara-nagar,"Casual Dining,Bar",Basaveshwara Nagar,"12, 4th Stage, 3rd Block, Basaveshwara Nagar, Bangalore","North Indian, Chinese, Seafood",₹800,"11AM to 4PM, 6:30PM to 11:30PM (Mon-Sun) ","2.7 ",319 votes
"Biryani Day ",https://www.zomato.com/bangalore/biryani-day-rajajinagar,Casual Dining,Rajajinagar,"522/B, 1st Main, A Block, 17th Cross, Tankbund Road, 2nd Stage Banglore, Rajajinagar, Bangalore",Biryani,₹350,"Closed (Mon),11:30AM to 3:30PM, 7PM to 10:30PM... ","3.6 ",131 votes
"Shalimar ",https://www.zomato.com/bangalore/shalimar-indiranagar,Casual Dining,Indiranagar,"322/3, 3rd Floor, 2nd Stage, CMH Road, Indiranagar, Bangalore","North Indian, Chinese, Seafood",₹700,"11AM to 11PM (Mon-Sun) ","3.6 ",117 votes
"Deccan House ",https://www.zomato.com/bangalore/deccan-house-new-bel-road,Quick Bites,New BEL Road,"7, 1st Cross, 1st Main Road, MSR Nagar, New BEL Road, Bangalore",Hyderabadi,₹250,"11:30AM to 10:30PM (Mon-Sun) ","3.5 ",126 votes
"Roving Feast ",https://www.zomato.com/bangalore/roving-feast-banashankari,Quick Bites,Banashankari,"78, 21st Main Road, Near BDA Complex, 2nd Stage, Banashankari, Bangalore","Italian, Continental, Fast Food, Chinese",₹450,"11AM to 10PM (Mon-Fri),8AM to 10PM (Sat-Sun) ","3.7 ",926 votes
"Hongkong Garden ",https://www.zomato.com/bangalore/hongkong-garden-kaggadasapura,Casual Dining,Kaggadasapura,"Shop 2, Sapthagiri Complex, Maruti Nagar extension, Next To TVS Showroom, Kaggadasapura, Bangalore","Chinese, Thai",₹500,"12:30PM to 10:45PM (Mon-Sun) ","3.6 ",160 votes
"The Reunion Club ",https://www.zomato.com/bangalore/the-reunion-club-whitefield-bangalore,Casual Dining,Whitefield,"101 & 45, Main Road, Whitefield, Bangalore","Modern Indian, Continental, North Indian, Chinese, Pizza","₹1,500","12Noon to 3:30PM, 7PM to 11:30PM (Mon-Sun) ","NEW ",
"Notebook Food Court ",https://www.zomato.com/bangalore/notebook-food-court-electronic-city,Quick Bites,Electronic City,"KIADP Layout , Phase-2, Near Tech Mahindra, Electronic City, Bangalore",Chinese,₹300,"11AM to 11PM (Mon-Sun) ","3.1 ",24 votes
"Gama Gama ",https://www.zomato.com/bangalore/gama-gama-banashankari,Quick Bites,Banashankari,"17, Ground Floor, Near Big Bazar, 100 Feet Ring Road, 3rd Stage, Banashankari, Bangalore",South Indian,₹200,"10AM to 10:30PM (Mon-Sun) ","3.5 ",89 votes
"Flayvours4u ",https://www.zomato.com/bangalore/flayvours4u-yelahanka,"Dessert Parlor,Beverage Shop",Yelahanka,"43/B, 1st Main Road, Chikkabommasandra, New Town, Yelahanka, Bangalore","Ice Cream, Beverages",₹150,"11AM to 11PM (Mon-Sun) ","3.0 ",6 votes
"SHA- E- DARBAR ",https://www.zomato.com/bangalore/sha-e-darbar-yelahanka,Casual Dining,Yelahanka,"1437, BB Road, Opposite KTM Showroom, Yelahanka Old Town, Yelahanka, Bangalore","North Indian, Chinese",₹500,"10AM to 11PM (Mon-Sun) ","3.0 ",9 votes
"The Bahubali ",https://www.zomato.com/bangalore/the-bahubali-marathahalli,Casual Dining,Marathahalli,"Doddenekundi, Outer Ring Road, Marathahalli, Bangalore","North Indian, Chinese",₹600,"12Noon to 11PM (Mon-Sun) ","3.5 ",52 votes
"Dash In ",https://www.zomato.com/bangalore/dash-in-btm,Casual Dining,BTM,"16, Krishna Nagar Industrial Layout, SG Palya, Near Christ University, BTM, Bangalore","North Indian, Chinese, Kerala",₹600,"8AM to 11PM (Mon-Sun) ","2.8 ",41 votes
"Kaaram ",https://www.zomato.com/bangalore/kaaram-koramangala-6th-block,Casual Dining,"Eat Street, Koramangala 6th Block","11, Eat Street, 80 Feet Road, Opposite Indian Oil Petrol Pump, Koramangala 6th Block, Bangalore","Andhra, Biryani",₹500,"12Noon to 11PM (Mon-Sun) ","3.7 ",229 votes
"Hungry Paunch ",https://www.zomato.com/bangalore/hungry-paunch-koramangala-6th-block,"Food Court,Quick Bites","Eat Street, Koramangala 6th Block","80 Feet Road,Eat Street, Opposite Indian Oil Petrol Pump, Koramangala 6th Block, Bangalore","Bengali, Bihari",₹350,"12Noon to 11PM (Mon, Tue, Wed, Thu, Sun), 12Noon to... ","4.1 ",129 votes
"FoodIshq ",https://www.zomato.com/bangalore/foodishq-kaggadasapura,,Kaggadasapura,"9th Cross, Byrasandra Road, GM Pallya, Kaggadasapura, Bangalore",North Indian,₹450,"12Noon to 3PM, 7PM to 10:30PM (Mon-Sun) ","3.8 ",113 votes
"Andhra Vantakam ",https://www.zomato.com/bangalore/andhra-vantakam-rajajinagar,Casual Dining,Rajajinagar,"SriramPuram Metro Station, Ramamohanapuram, Rajajinagar, Bangalore","Andhra, Chinese, North Indian, Seafood",₹600,"11:30AM to 3:30PM, 6:30PM to 11PM (Mon-Sun) ","3.3 ",47 votes
"Nanda's ",https://www.zomato.com/bangalore/nandas-marathahalli,Casual Dining,Marathahalli,"90/1B, Ram Arcade, Opposite Multiplex, Outer Ring Road, Marathahalli, Bangalore","North Indian, Andhra",₹600,"11:30AM to 3:30PM, 7PM to 11PM (Mon-Sun) ","2.8 ",100 votes
"Lassi Shop ",https://www.zomato.com/bangalore/lassi-shop-jeevan-bhima-nagar,Beverage Shop,Jeevan Bhima Nagar,"No 473, 10th Main, Jeevanbhimanagar, HAL 3rd stage, Jeevan Bhima Nagar, Bangalore","Beverages, Juices, Ice Cream",₹100,"11AM to 11:30PM (Mon-Thu),11AM to 12Midnight (Fri-Sun) ","3.6 ",79 votes
"Spice Station ",https://www.zomato.com/bangalore/spice-station-koramangala-4th-block,Casual Dining,Koramangala 4th Block,"107/2, 80 Feet Road, Koramangala 4th Block, Bangalore","North Indian, Chinese, Thai","₹1,000","11AM to 11:30PM (Mon, Tue, Wed, Thu, Sun), 11AM to... ","3.3 ",76 votes
"Hotel Crown Fishland ",https://www.zomato.com/bangalore/hotel-crown-fishland-koramangala-7th-block,Quick Bites,Koramangala 7th Block,"479, KHB Colony, Near Jyothi Nivas College Road, Koramangala 5th Block, Bangalore","South Indian, Chinese, Seafood",₹400,"11:30AM to 1:30AM (Mon-Sun) ","3.6 ",37 votes
"Ujwal Restaurant ",https://www.zomato.com/bangalore/ujwal-restaurant-sanjay-nagar,"Bar,Casual Dining",Sanjay Nagar,"38/41, Manjunath Complex, Opposite R.M.V. Hospital, Sanjay Nagar Main Road, Sanjay Nagar, Bangalore","Seafood, North Indian, Chinese",₹550,"11AM to 11PM (Mon-Sun) ","3.5 ",109 votes
"Curry Leaves ",https://www.zomato.com/bangalore/curry-leaves-jayanagar,Casual Dining,Jayanagar,"1616, 36th Cross, East End Main Road, 9th Block, Jayanagar, Bangalore","Andhra, North Indian, Chinese",₹550,"11:30AM to 3:30PM, 7PM to 11PM (Mon-Sun) ","3.4 ",176 votes
"Axomi - Taste of Assam ",https://www.zomato.com/bangalore/axomi-taste-of-assam-koramangala-7th-block,Casual Dining,Koramangala 7th Block,"360, 2nd Floor, Near HDFC Bank,7th Block, Koramangala 7th Block, Bangalore",Assamese,₹500,"12:30PM to 11PM (Mon-Sun) ","3.7 ",479 votes
"Pani Weds Puri ",https://www.zomato.com/bangalore/pani-weds-puri-rajajinagar,,Rajajinagar,"624, Dr Rajkumar Road, 2nd Block, Rajajinagar, Bangalore",Street Food,₹100,"12Noon to 10PM (Mon-Sun) ","3.4 ",45 votes
"Momo Hut ",https://www.zomato.com/bangalore/momo-hut-koramangala-5th-block,Quick Bites,Koramangala 5th Block,"99, 4th B Cross, Koramangala 5th Block, Bangalore","Chinese, Tibetan",₹250,"1PM to 10PM (Mon-Sun) ","3.7 ",617 votes
"Min Mini Punjabi Dhaba ",https://www.zomato.com/bangalore/min-mini-punjabi-dhaba-koramangala-7th-block,Quick Bites,Koramangala 7th Block,"213, Opposite Bosch Gate, Saibaba Temple Road, 1st Main, Koramangala 7th Block, Bangalore",North Indian,₹250,"11AM to 11PM (Mon-Sun) ","3.5 ",30 votes
"Berrylicious Cafe ",https://www.zomato.com/bangalore/berrylicious-cafe-mg-road-bangalore,"Casual Dining,Café",MG Road,"4/1, Brunton Road, MG Road, Bangalore","Continental, Cafe, Desserts, Pizza, North Indian, Chinese, Ice Cream",₹900,"11AM to 10:30PM (Mon-Sun) ","NEW ",
"Temple Meals ",https://www.zomato.com/bangalore/temple-meals-malleshwaram,Quick Bites,Malleshwaram,"151, 7th Cross, Margosa Road, Malleshwaram, Bangalore",South Indian,₹200,"11:30AM to 3:30PM (Mon-Sun) ","3.3 ",20 votes
"Potato Potahto ",https://www.zomato.com/bangalore/potato-potahto-bellandur,Café,Bellandur,"Ground Floor, Sai Charan, Opposite Narayana PU College, Behind ICICI Bank, Green Glen Layout, Bellandur, Bangalore","Cafe, North Indian, Street Food, Chinese",₹300,"10AM to 10:30PM (Mon, Tue, Wed, Thu, Fri, Sun), 1PM... ","3.4 ",45 votes
"Dil Se Dilli ",https://www.zomato.com/bangalore/dil-se-dilli-2-whitefield,Casual Dining,Whitefield,"#956, 1st Floor, 1st Main, Rajapalya, Hoodi, ITPL Main Road, Whitefield, Bangalore","North Indian, Mughlai",₹400,"6PM to 11:30PM (Mon),12:30PM to 4PM, 6PM to 11:30PM... ","3.6 ",163 votes
"Aastha Bengali Mess ",https://www.zomato.com/bangalore/aastha-bengali-mess-yeshwantpur,Casual Dining,Yeshwantpur,"459/64, 5th B Cross, Triveni Road, Yeshwantpur, Bangalore","North Indian, Bengali",₹200,"12Noon to 4PM, 7PM to 11PM (Mon-Sun) ","3.5 ",63 votes
"Fill A Belly Restaurant ",https://www.zomato.com/bangalore/fill-a-belly-restaurant-sarjapur-road-bangalore,Quick Bites,Sarjapur Road,"Opposite to Federal Bank, Chambenahalli, Sarjapur Road, Bangalore","North Indian, Chinese, Fast Food",₹300,"11AM to 9:30PM (Mon-Sun) ","NEW ",
"Gelato Pazzo ",https://www.zomato.com/bangalore/gelato-pazzo-btm,Dessert Parlor,BTM,"398, 7th Cross, MICO Layout, 2nd Stage",Desserts,₹200,"11AM to 11PM (Mon-Sun) ","3.3 ",19 votes
"Karavali Lunch Home ",https://www.zomato.com/bangalore/karavali-lunch-home-nagarbhavi,Casual Dining,Nagarbhavi,"10, 2nd Cross, Malagala Village, Outer Ring Road, A Block Kottigepalya, Nagarbhavi, Bangalore","Mangalorean, Seafood, South Indian",₹500,"11:30AM to 11:30PM (Mon-Sun) ","3.1 ",11 votes
"Zeeshan ",https://www.zomato.com/bangalore/zeeshan-marathahalli,Quick Bites,Marathahalli,"4, Innovative Food Junction, Innovative Multiplex, Outer Ring Road, Varthur Hobli, Marathahalli, Bangalore","North Indian, Mughlai, Biryani",₹600,"12:30PM to 10:30PM (Mon-Sun) ","3.5 ",39 votes
